type,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,len,first_word_invalid,data
CSI_DATA,88858,2023-11-18 11:35:52.921,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124623131,0,44,0,104,0,"[-2, -20, -2, -20, -2, -20, -2, -20, -2, -20, -2, -20, -2, -20, -2, -20, -2, -20, -3, -20, -3, -20, -4, -20, -4, -20, -4, -20, -4, -20, -5, -20, -5, -20, -5, -19, -5, -20, -5, -20, -5, -20, -6, -19, -7, -20, -8, -20, -8, -21, -9, -21, -9, -21, -9, -21, -10, -21, -9, -21, -9, -22, -9, -22, -9, -22, -9, -22, -9, -22, -9, -23, -10, -24, -9, -24, -9, -24, -8, -24, -8, -24, -8, -24, -8, -24, -7, -24, -6, -25, -5, -25, -5, -24, -5, -24, -4, -24, -4, -24, -3, -24, -3, -23]"
CSI_DATA,88859,2023-11-18 11:35:52.931,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124633147,0,44,0,104,0,"[-19, 4, -19, 4, -20, 4, -20, 4, -20, 4, -20, 4, -20, 4, -20, 4, -19, 4, -19, 5, -20, 5, -19, 5, -19, 6, -19, 6, -19, 6, -19, 7, -19, 7, -18, 7, -19, 8, -19, 8, -19, 8, -18, 9, -19, 9, -19, 10, -19, 11, -19, 11, -19, 11, -19, 12, -19, 12, -19, 12, -20, 12, -20, 12, -20, 13, -20, 13, -20, 13, -21, 13, -22, 13, -22, 12, -22, 12, -22, 12, -22, 12, -23, 12, -23, 12, -23, 11, -23, 11, -23, 10, -23, 10, -23, 9, -23, 8, -23, 8, -23, 7, -23, 6]"
CSI_DATA,88860,2023-11-18 11:35:52.942,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124643144,0,44,0,104,0,"[4, 18, 4, 18, 5, 18, 5, 18, 5, 18, 5, 19, 5, 19, 5, 18, 5, 18, 5, 18, 6, 18, 6, 18, 6, 18, 7, 18, 7, 18, 8, 18, 8, 17, 8, 17, 8, 17, 9, 18, 9, 17, 9, 17, 10, 17, 11, 18, 11, 18, 12, 18, 12, 18, 13, 18, 13, 18, 13, 18, 13, 18, 13, 19, 13, 19, 13, 19, 13, 19, 14, 20, 14, 20, 13, 20, 13, 20, 13, 20, 13, 21, 13, 21, 12, 21, 12, 22, 11, 22, 11, 22, 10, 22, 10, 22, 9, 22, 9, 22, 8, 22, 7, 22]"
CSI_DATA,88861,2023-11-18 11:35:52.953,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124653142,0,44,0,104,0,"[8, -10, 9, -10, 9, -11, 8, -11, 8, -11, 9, -11, 9, -11, 9, -11, 8, -11, 8, -11, 8, -12, 8, -12, 7, -12, 7, -12, 7, -12, 7, -12, 7, -12, 7, -12, 7, -13, 7, -13, 7, -13, 6, -13, 6, -13, 6, -14, 5, -15, 5, -15, 6, -15, 6, -15, 5, -15, 5, -15, 6, -16, 6, -16, 6, -16, 6, -16, 6, -16, 6, -17, 6, -17, 6, -17, 7, -17, 7, -16, 7, -16, 8, -16, 8, -16, 8, -16, 9, -16, 9, -15, 9, -15, 9, -15, 9, -14, 9, -14, 9, -14, 10, -14]"
CSI_DATA,88862,2023-11-18 11:35:52.967,1,static,1a:00:00:00:00:00,-44,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124663149,0,44,0,104,0,"[16, 9, 16, 9, 16, 9, 16, 9, 16, 9, 16, 9, 16, 9, 16, 9, 16, 9, 16, 8, 17, 7, 17, 7, 17, 7, 17, 7, 17, 6, 17, 6, 17, 6, 17, 6, 18, 6, 18, 6, 18, 5, 18, 5, 19, 4, 20, 3, 20, 3, 21, 3, 20, 3, 21, 3, 21, 2, 21, 2, 22, 3, 22, 4, 22, 4, 22, 4, 22, 3, 23, 3, 24, 3, 23, 3, 23, 4, 23, 4, 23, 5, 23, 5, 23, 5, 23, 6, 23, 7, 22, 7, 22, 7, 21, 7, 21, 7, 21, 8, 20, 8, 20, 8]"
CSI_DATA,88863,2023-11-18 11:35:52.974,1,static,1a:00:00:00:00:00,-44,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124675080,0,44,0,104,0,"[-19, 11, -19, 11, -19, 11, -19, 11, -19, 11, -19, 11, -19, 11, -19, 10, -19, 11, -18, 11, -18, 12, -18, 12, -18, 13, -18, 13, -17, 13, -17, 13, -17, 14, -16, 13, -17, 14, -17, 14, -17, 14, -16, 14, -16, 15, -16, 17, -16, 17, -16, 18, -16, 18, -16, 18, -16, 19, -16, 19, -17, 19, -17, 19, -17, 19, -17, 19, -17, 19, -18, 20, -18, 20, -18, 20, -18, 19, -19, 19, -19, 19, -19, 19, -19, 19, -20, 18, -21, 17, -21, 17, -21, 16, -21, 16, -21, 15, -21, 15, -21, 14, -21, 14]"
CSI_DATA,88864,2023-11-18 11:35:52.981,1,static,1a:00:00:00:00:00,-44,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124683142,0,44,0,104,0,"[-17, -11, -17, -11, -18, -11, -18, -11, -18, -11, -18, -11, -18, -11, -18, -11, -17, -11, -17, -10, -18, -10, -18, -10, -18, -10, -18, -9, -19, -9, -19, -8, -19, -8, -18, -8, -19, -8, -20, -8, -19, -7, -19, -7, -20, -6, -21, -6, -21, -6, -22, -6, -22, -5, -22, -5, -22, -5, -22, -5, -23, -5, -23, -5, -23, -5, -23, -5, -23, -5, -24, -5, -24, -6, -24, -6, -24, -7, -24, -7, -24, -7, -24, -7, -23, -7, -23, -7, -23, -8, -23, -8, -23, -8, -22, -9, -21, -9, -21, -10, -21, -10, -20, -10]"
CSI_DATA,88865,2023-11-18 11:35:52.991,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124693131,0,44,0,104,0,"[-2, -15, -2, -15, -2, -15, -3, -15, -3, -15, -2, -15, -2, -15, -2, -15, -2, -15, -3, -15, -4, -15, -4, -15, -4, -15, -4, -15, -4, -15, -4, -15, -5, -15, -5, -14, -5, -15, -5, -15, -5, -15, -5, -14, -6, -14, -7, -14, -7, -15, -7, -15, -7, -15, -8, -15, -8, -15, -8, -15, -8, -15, -7, -16, -7, -16, -7, -16, -7, -16, -8, -16, -8, -16, -8, -16, -8, -16, -7, -16, -7, -17, -7, -17, -7, -16, -6, -17, -6, -17, -5, -17, -5, -17, -5, -17, -5, -16, -5, -16, -4, -16, -4, -16]"
CSI_DATA,88866,2023-11-18 11:35:53.001,1,static,1a:00:00:00:00:00,-44,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124703131,0,44,0,104,0,"[-18, 11, -18, 11, -18, 11, -18, 11, -18, 11, -18, 11, -18, 10, -18, 10, -18, 10, -17, 11, -17, 12, -17, 12, -17, 12, -17, 12, -16, 12, -16, 12, -16, 12, -16, 12, -16, 13, -16, 13, -16, 13, -15, 13, -15, 14, -15, 15, -15, 16, -15, 16, -15, 16, -15, 16, -15, 16, -15, 16, -16, 17, -16, 17, -16, 16, -16, 16, -16, 16, -16, 17, -17, 17, -17, 17, -17, 17, -18, 16, -18, 16, -18, 16, -18, 16, -19, 15, -19, 15, -19, 14, -19, 13, -19, 13, -19, 13, -19, 12, -19, 12, -19, 11]"
CSI_DATA,88867,2023-11-18 11:35:53.011,1,static,1a:00:00:00:00:00,-44,11,1,0,0,1,1,0,0,0,1,-96,0,11,2,1124713147,0,44,0,104,0,"[20, 10, 20, 11, 20, 10, 20, 10, 20, 10, 20, 11, 19, 11, 19, 11, 19, 10, 19, 10, 20, 9, 20, 9, 20, 8, 20, 8, 20, 8, 20, 8, 20, 7, 20, 7, 20, 7, 21, 7, 21, 7, 20, 6, 21, 6, 22, 5, 23, 5, 24, 5, 23, 5, 23, 4, 24, 4, 24, 4, 24, 5, 24, 5, 24, 5, 24, 5, 24, 5, 25, 5, 26, 5, 25, 5, 25, 6, 25, 6, 25, 7, 25, 7, 25, 7, 24, 8, 24, 9, 24, 9, 23, 10, 22, 10, 22, 10, 22, 10, 21, 10, 21, 11]"
