type,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,len,first_word_invalid,data
CSI_DATA,195936,2023-11-18 11:53:50.275,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2201979238,0,44,0,104,0,"[13, 4, 13, 4, 14, 4, 14, 4, 14, 4, 15, 4, 15, 4, 15, 4, 16, 4, 16, 4, 17, 3, 17, 3, 18, 3, 18, 3, 18, 2, 19, 2, 19, 1, 19, 2, 20, 2, 20, 1, 21, 1, 21, 1, 21, 0, 23, 0, 23, -1, 24, -1, 24, -1, 25, -2, 25, -3, 25, -2, 26, -2, 27, -1, 27, -1, 27, -1, 27, -1, 28, -1, 29, -1, 29, -1, 28, -1, 28, 0, 29, 0, 29, 0, 29, 0, 29, 1, 29, 2, 29, 2, 28, 3, 28, 3, 28, 4, 27, 5, 27, 5, 26, 5]"
CSI_DATA,195937,2023-11-18 11:53:50.285,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2201989227,0,44,0,104,0,"[-13, 7, -13, 7, -13, 8, -13, 8, -14, 8, -14, 9, -14, 9, -14, 9, -14, 9, -14, 10, -14, 11, -14, 12, -14, 12, -14, 13, -14, 13, -14, 14, -14, 14, -14, 14, -14, 15, -14, 16, -14, 16, -14, 16, -14, 17, -14, 19, -14, 20, -14, 20, -14, 21, -14, 22, -13, 23, -13, 23, -14, 23, -15, 23, -15, 23, -15, 23, -14, 23, -15, 24, -15, 25, -15, 25, -15, 24, -16, 24, -16, 25, -16, 26, -16, 25, -17, 25, -17, 24, -17, 24, -18, 23, -17, 23, -18, 22, -18, 22, -18, 21, -18, 21]"
CSI_DATA,195938,2023-11-18 11:53:50.295,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2201999231,0,44,0,104,0,"[11, -5, 12, -5, 12, -6, 12, -6, 12, -6, 13, -6, 13, -6, 13, -7, 13, -7, 13, -8, 13, -9, 13, -9, 14, -9, 14, -10, 14, -10, 14, -11, 14, -11, 14, -11, 14, -11, 14, -12, 14, -12, 14, -13, 14, -14, 14, -15, 15, -16, 15, -16, 15, -17, 15, -17, 15, -18, 15, -18, 15, -18, 16, -18, 17, -18, 17, -18, 16, -18, 17, -19, 17, -20, 17, -20, 17, -20, 18, -19, 18, -19, 18, -19, 18, -19, 18, -19, 19, -18, 19, -17, 19, -17, 19, -17, 19, -16, 19, -16, 19, -16, 19, -15]"
CSI_DATA,195939,2023-11-18 11:53:50.305,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2202009241,0,44,0,104,0,"[11, 9, 11, 9, 12, 9, 12, 9, 12, 10, 12, 10, 13, 10, 13, 10, 13, 10, 14, 10, 14, 10, 15, 10, 16, 10, 16, 10, 17, 9, 17, 9, 17, 9, 17, 9, 18, 9, 19, 9, 19, 9, 19, 9, 20, 8, 21, 8, 23, 8, 23, 8, 24, 8, 24, 8, 25, 7, 25, 7, 25, 8, 26, 9, 26, 9, 26, 9, 26, 9, 27, 8, 28, 8, 27, 9, 27, 9, 27, 10, 27, 10, 28, 10, 27, 10, 27, 11, 27, 12, 26, 12, 26, 13, 25, 12, 25, 12, 24, 13, 24, 13, 24, 14]"
CSI_DATA,195940,2023-11-18 11:53:50.315,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2202019212,0,44,0,104,0,"[-14, 1, -14, 1, -14, 1, -15, 2, -15, 2, -15, 2, -16, 2, -16, 2, -16, 3, -16, 3, -16, 3, -17, 3, -17, 4, -17, 4, -17, 5, -18, 6, -18, 6, -18, 6, -18, 6, -19, 7, -18, 7, -18, 8, -19, 8, -19, 9, -20, 10, -20, 10, -20, 11, -21, 11, -21, 12, -21, 12, -21, 12, -22, 12, -22, 12, -22, 12, -22, 12, -23, 13, -23, 13, -23, 12, -23, 12, -24, 12, -24, 12, -24, 12, -24, 12, -24, 11, -25, 11, -24, 11, -24, 10, -24, 10, -24, 9, -25, 8, -24, 7, -24, 7]"
CSI_DATA,195941,2023-11-18 11:53:50.325,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2202029237,0,44,0,104,0,"[12, -5, 12, -5, 13, -6, 13, -6, 13, -6, 14, -6, 14, -6, 14, -6, 14, -7, 14, -7, 14, -8, 14, -9, 14, -9, 14, -10, 15, -10, 15, -11, 15, -11, 15, -11, 15, -11, 16, -11, 16, -12, 15, -12, 15, -13, 15, -15, 16, -16, 16, -16, 16, -16, 17, -17, 16, -17, 16, -17, 17, -17, 18, -17, 18, -17, 18, -17, 18, -17, 18, -18, 18, -19, 18, -19, 19, -19, 19, -18, 20, -18, 20, -18, 20, -18, 20, -17, 21, -16, 21, -16, 21, -15, 21, -15, 21, -15, 21, -15, 21, -14, 21, -13]"
CSI_DATA,195942,2023-11-18 11:53:50.337,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2202040890,0,44,0,104,0,"[-12, 6, -12, 6, -12, 7, -12, 7, -13, 8, -13, 8, -13, 8, -13, 8, -13, 8, -13, 9, -13, 10, -13, 10, -13, 11, -13, 11, -13, 12, -13, 12, -13, 13, -13, 13, -13, 13, -14, 14, -13, 14, -13, 14, -13, 15, -13, 17, -13, 17, -13, 18, -13, 18, -13, 19, -13, 19, -13, 20, -14, 20, -14, 20, -15, 20, -14, 20, -14, 20, -14, 21, -15, 22, -15, 22, -15, 21, -15, 21, -15, 21, -16, 22, -16, 21, -16, 21, -17, 20, -17, 19, -17, 19, -17, 19, -17, 19, -17, 18, -17, 18, -17, 17]"
CSI_DATA,195943,2023-11-18 11:53:50.345,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2202049205,0,44,0,104,0,"[7, 10, 8, 10, 8, 10, 9, 10, 9, 10, 9, 11, 9, 11, 9, 11, 10, 11, 10, 11, 11, 11, 11, 11, 12, 11, 12, 10, 13, 10, 14, 10, 14, 10, 14, 10, 14, 10, 15, 11, 15, 10, 16, 10, 16, 10, 18, 10, 18, 10, 19, 10, 19, 10, 20, 10, 21, 9, 21, 9, 21, 10, 21, 10, 21, 11, 21, 11, 22, 11, 23, 11, 23, 11, 23, 11, 23, 11, 22, 11, 23, 12, 23, 12, 22, 12, 22, 13, 22, 13, 21, 14, 21, 14, 20, 14, 20, 14, 20, 14, 19, 14, 19, 14]"
CSI_DATA,195944,2023-11-18 11:53:50.355,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2202059211,0,44,0,104,0,"[-10, 0, -10, 0, -10, 0, -10, 0, -10, 0, -11, 0, -11, 0, -11, 0, -11, 0, -11, 1, -12, 1, -12, 1, -12, 2, -12, 2, -12, 2, -13, 2, -13, 3, -13, 3, -13, 3, -13, 3, -13, 3, -13, 4, -13, 4, -14, 5, -14, 5, -15, 5, -15, 5, -15, 6, -15, 6, -15, 6, -16, 6, -16, 6, -16, 6, -16, 6, -16, 6, -17, 6, -17, 7, -17, 6, -17, 6, -17, 6, -18, 6, -18, 6, -18, 6, -18, 5, -18, 5, -18, 4, -18, 4, -18, 4, -18, 3, -18, 3, -17, 3, -17, 2]"
CSI_DATA,195945,2023-11-18 11:53:50.365,1,static,1a:00:00:00:00:00,-43,11,1,0,0,1,1,0,0,0,1,-97,0,11,2,2202069227,0,44,0,104,0,"[-15, 1, -15, 1, -15, 2, -15, 2, -16, 2, -16, 2, -17, 2, -17, 2, -17, 3, -17, 3, -18, 4, -18, 5, -18, 5, -18, 5, -18, 5, -19, 6, -19, 6, -19, 6, -19, 6, -20, 7, -20, 7, -20, 8, -20, 9, -21, 10, -21, 10, -22, 11, -22, 11, -23, 11, -23, 12, -23, 12, -23, 12, -24, 12, -24, 12, -24, 12, -24, 12, -25, 13, -26, 13, -25, 13, -25, 12, -26, 11, -26, 11, -27, 11, -27, 11, -27, 10, -27, 10, -27, 9, -27, 9, -27, 8, -27, 8, -27, 7, -26, 7, -26, 6]"
